vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,pulled_at,rt_chunk
8933,20260218 17:31,41.864068011848296,-87.62407684326172,181,19379,4,115th,11042,False,88362397,273985849,4 -721,,1,N/A,61950,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7933,20260218 17:31,41.85114542643229,-87.62383661514673,176,19379,4,115th,15765,False,88362396,273985848,4 -708,,1,N/A,61350,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1298,20260218 17:31,41.831053073589615,-87.61809862576999,91,19379,4,115th,24503,False,88362395,273985847,4 -755,,1,N/A,60780,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8563,20260218 17:31,41.82444272722517,-87.60724577611806,166,19379,4,115th,29124,False,88362393,273985845,4 -704,,1,N/A,59700,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7934,20260218 17:31,41.820613861083984,-87.60686492919922,179,19379,4,115th,30534,False,88362394,273985846,4 -719,,1,N/A,60210,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7954,20260218 17:31,41.777305603027344,-87.60586371788612,178,19379,4,115th,46343,False,88362480,273985926,4 -716,,1,N/A,59130,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8948,20260218 17:31,41.77631400613224,-87.60584259033203,178,19379,4,115th,46703,False,88362392,273985844,4 -715,,1,N/A,58560,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8160,20260218 17:31,41.73854118481017,-87.60494232177734,179,19379,4,115th,60389,False,88362391,273985843,4 -706,,1,N/A,57990,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8609,20260218 17:31,41.73110034014728,-87.60476684570312,175,19379,4,115th,63105,False,88362390,273985842,4 -723,,1,N/A,57420,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7951,20260218 17:31,41.68612625639317,-87.61140558275126,186,19379,4,115th,80035,False,88362389,273985841,4 -713,,1,N/A,56850,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1229,20260218 17:31,41.68572180611746,-87.61147962297711,184,19379,4,115th,80184,False,88362388,273985840,4 -753,,1,N/A,56340,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1296,20260218 17:31,41.80253982543945,-87.60631561279297,352,19372,X4,Illinois Center,35096,False,36,273983688,X4  -767,,1,N/A,60930,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1267,20260218 17:31,41.831241607666016,-87.61606645584106,270,19372,X4,Illinois Center,47253,False,35,273983654,X4  -764,,1,N/A,60120,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7921,20260218 17:31,41.87552695180855,-87.62413862639782,0,19372,X4,Illinois Center,65294,False,34,273983653,X4  -765,,1,N/A,59340,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8565,20260218 17:31,41.88486862182617,-87.62053680419922,0,19374,X4,95th Red Line,0,False,66,273983684,X4  -762,,1,N/A,63600,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8676,20260218 17:31,41.885322293368255,-87.62458426735618,179,19374,X4,95th Red Line,3262,False,65,273983683,X4  -758,,1,N/A,62850,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8141,20260218 17:31,41.87316131591797,-87.6242904663086,175,19374,X4,95th Red Line,7707,False,64,273983682,X4  -757,,1,N/A,62130,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1295,20260218 17:31,41.84572975590544,-87.62362642108269,177,19374,X4,95th Red Line,17747,False,63,273983681,X4  -756,,1,N/A,61410,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8344,20260218 17:31,41.821343960969344,-87.60682678222656,179,19374,X4,95th Red Line,30290,False,62,273983680,X4  -754,,1,N/A,60690,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8931,20260218 17:31,41.789882328199305,-87.60613250732422,179,19374,X4,95th Red Line,41769,False,61,273983679,X4  -766,,1,N/A,59970,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1314,20260218 17:31,41.74560022354126,-87.60514831542969,179,19374,X4,95th Red Line,57941,False,60,273983678,X4  -763,,1,N/A,59250,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8443,20260218 17:31,41.88067065968233,-87.6277956495098,174,7107,6,79th/South Shore,6781,False,22224075,273988787,6 -152,,1,N/A,62430,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7910,20260218 17:31,41.87480545043945,-87.627685546875,179,7107,6,79th/South Shore,8922,False,22224074,273988798,6 -114,,1,N/A,61770,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
