vid,tmstmp,rt,des,lat,lon,pdist,dly,matched_trip_id,prev_stop_name,next_stop_name,scheduled_arrival_next_minutes,delay_minutes,on_time_status,dist_from_next_stop_km,time_match_score_minutes,is_ghost,ghost_score,ghost_frozen,ghost_jump
4025,2026-02-19 23:39:00,151,Devon/Clark,41.92115711521458,-87.63568981273754,21500,False,6770021116070,Clark & Granville,Clark & Rosemont,1420.2833251953125,-1.3,early,8.829,1.13,False,0,False,False
4029,2026-02-19 23:39:00,22,Howard,41.99585700035095,-87.6700668334961,49010,False,6770015253010,Clark & Elmdale/Peterson,Clark & Thorndale,1418.9666748046875,0.0,on_time,0.838,0.43,False,0,False,False
4029,2026-02-19 23:40:00,22,Howard,41.998449908362495,-87.67064740922716,49982,False,6770030446010,Clark & Wellington,Clark & Barry/Halsted,1420.0999755859375,-0.1,on_time,6.873,1.71,False,0,False,False
4053,2026-02-19 23:39:00,6,79th/South Shore,41.87854655196027,-87.62775421142578,7554,False,6770040286020,Clark & Kinzie,Clark & Randolph,1418.5333251953125,0.5,on_time,0.693,0.2,False,0,False,False
4064,2026-02-19 23:38:00,J14,103rd/Stony Island,41.74767039372371,-87.57593829815204,59085,False,6770025032010,Stony Island & 86th Street,Stony Island & 85th Street,1417.5,0.5,on_time,1.098,0.76,False,0,False,False
4064,2026-02-19 23:40:00,J14,103rd/Stony Island,41.744819987903945,-87.57585088556463,60107,False,6770014789010,Stony Island & 95th Street,103rd Street & Stony Island Garage Terminal,1419.5,0.5,on_time,4.058,1.48,False,0,False,False
4083,2026-02-19 23:38:00,6,79th/South Shore,41.77744512557983,-87.58633937835694,50482,False,6770027815020,Stony Island & 65th Street,Stony Island & 64th Street,1419.88330078125,-1.9,early,0.147,0.67,False,0,False,False
4083,2026-02-19 23:40:00,6,79th/South Shore,41.7736246992902,-87.58628845214844,51875,False,6770042821070,Grand & St. Clair,Grand & Rush,1422.0167236328125,-2.0,early,13.537,2.67,False,0,False,False
4130,2026-02-19 23:38:00,22,Harrison,41.99046377702193,-87.67013018059008,11768,False,6770014514020,State & 9th Street,State & Balbo,1423.4000244140625,-5.4,early,13.532,4.51,False,0,False,False
4130,2026-02-19 23:39:00,22,Harrison,41.98719390451092,-87.66971379110258,12972,False,6770003690070,Dearborn & Hubbard,Illinois & State,1416.699951171875,2.3,on_time,11.264,1.49,False,0,False,False
4143,2026-02-19 23:38:00,22,Howard,41.88291875866876,-87.6294174194336,4889,False,6770013699020,State & 73rd Street,State & 72nd Street,1420.1666259765625,-2.2,early,13.277,0.85,False,0,False,False
4143,2026-02-19 23:40:00,22,Howard,41.88555696275499,-87.6294937133789,5850,False,6770017317070,State & 37th Street,State & 38th Street,1421.2833251953125,-1.3,early,6.661,1.93,False,0,False,False
4154,2026-02-19 23:39:00,151,Union Station,41.9538969560103,-87.6545243696733,20896,False,6770027639020,Lafayette & 94th Street,95th Red Line Station,1418.0,1.0,on_time,25.823,0.05,False,0,False,False
4154,2026-02-19 23:39:00,151,Union Station,41.95289158475572,-87.65449004242386,21266,False,6770048337020,95th Street & Michigan,95th Red Line Station,1414.0,5.0,on_time,25.717,4.06,False,0,False,False
4155,2026-02-19 23:39:00,147,Howard Station,41.89503161112467,-87.62418111165364,9618,False,6770043022020,Michigan & 118th Street,Michigan & 119th Street,1418.88330078125,0.1,on_time,24.115,0.29,False,0,False,False
4155,2026-02-19 23:39:00,147,Howard Station,41.89503161112467,-87.62418111165364,9618,False,6770046093070,Michigan & 107th Street,10600 S Michigan,1419.4666748046875,-0.5,on_time,21.501,0.19,False,0,False,False
4157,2026-02-19 23:38:00,146,Berwyn Red Line,41.88682174682617,-87.62593841552734,14444,False,6770001251010,Sox-35th Red Line Station,35th Street & Federal,1419.0333251953125,-1.0,on_time,6.224,0.49,False,0,False,False
4157,2026-02-19 23:39:00,146,Berwyn Red Line,41.88682174682617,-87.62452697753906,14827,False,6770008712020,35th Street & Normal,35th Street & Wallace,1417.6666259765625,1.3,on_time,6.369,0.42,False,0,False,False
4157,2026-02-19 23:40:00,146,Berwyn Red Line,41.88793182373047,-87.62448120117188,15250,False,6770036828070,California & 36th Place,36th Place & Francisco,1416.38330078125,3.6,on_time,9.024,3.06,False,0,False,False
4304,2026-02-19 23:38:00,6,Wacker/Columbus,41.787400891703946,-87.58661651611328,22056,False,6770017962070,Broadway & Montrose,Broadway & Cullom,1418.5333251953125,-0.5,on_time,20.07,0.3,False,0,False,False
4304,2026-02-19 23:40:00,6,Wacker/Columbus,41.79161272915927,-87.5859444358132,23733,False,6770009448020,Division & Clark (Red Line),Division & State,1420.3333740234375,-0.3,on_time,12.978,1.71,False,0,False,False
4314,2026-02-19 23:38:00,J14,103rd/Stony Island,41.70862183204064,-87.58231060321515,83582,False,6770015691010,State & Van Buren,Van Buren & Clark,1419.1666259765625,-1.2,early,19.147,0.35,False,0,False,False
4314,2026-02-19 23:39:00,J14,103rd/Stony Island,41.70849537849426,-87.58208513259888,83668,False,6770023261020,Dearborn & Wacker/Lake,Dearborn & Marina City,1419.5833740234375,-0.6,on_time,20.354,0.64,False,0,False,False
4324,2026-02-19 23:38:00,J14,103rd/Stony Island,41.81652069091797,-87.59493255615234,31985,False,6770040955020,Clark & Webster,Clark & Belden,1419.6666259765625,-1.7,early,12.464,0.83,False,0,False,False
4324,2026-02-19 23:40:00,J14,103rd/Stony Island,41.803428649902344,-87.58186340332031,37982,False,6770003316010,Clark & Armitage,Clark & Wisconsin,1416.2667236328125,3.7,on_time,13.349,1.91,False,1,False,True
4325,2026-02-19 23:38:00,22,Howard,41.957229098758184,-87.66401610503326,34729,False,6770012412010,87th Street & Wallace,87th Street & Union,1418.75,-0.8,on_time,24.651,0.38,False,0,False,False
4325,2026-02-19 23:40:00,22,Howard,41.961557149887085,-87.66593360900879,36397,False,6770023658020,87th Street & Blackstone,87th Street & Stony Island (Nearside),1420.9000244140625,-0.9,on_time,25.853,1.21,False,0,False,False
4334,2026-02-19 23:39:00,151,Union Station,41.879398345947266,-87.63359069824219,55274,False,6770002635070,91st Street & Houston,87th Street & Commercial,1419.13330078125,-0.1,on_time,17.18,0.77,False,0,False,False
4334,2026-02-19 23:39:00,151,Union Station,41.87937545776367,-87.63568878173828,55845,False,6770003391020,200 W 87th Street,87th Street & Holland,1417.88330078125,1.1,on_time,15.939,1.19,False,0,False,False
4338,2026-02-19 23:39:00,146,Berwyn Red Line,41.966612074110245,-87.64891476101346,45894,False,6770026513070,87th Street & Blackstone,87th Street & Stony Island (Nearside),1416.949951171875,2.1,on_time,26.078,1.15,False,0,False,False
4338,2026-02-19 23:39:00,146,Berwyn Red Line,41.96743240356445,-87.6491455078125,46199,False,6770031711020,Harlem & Montrose,Harlem & Sunnyside,1421.2833251953125,-2.3,early,13.073,1.78,False,0,False,False
4338,2026-02-19 23:40:00,146,Berwyn Red Line,41.97174334526062,-87.65046787261963,47813,False,6770024927020,California Pink Line Station,California & 19th Street,1417.550048828125,2.4,on_time,13.455,1.55,False,0,False,False
4342,2026-02-19 23:39:00,151,Devon/Clark,41.9981689453125,-87.6631562516496,54902,False,6770029477020,71st Street & California,71st Street & Washtenaw,1419.2667236328125,-0.3,on_time,26.078,0.0,False,0,False,False
4342,2026-02-19 23:39:00,151,Devon/Clark,41.99814987182617,-87.66479691215183,55348,False,6770037474020,California & Addison,California & Roscoe,1418.199951171875,0.8,on_time,6.727,1.58,False,0,False,False
4357,2026-02-19 23:38:00,22,Harrison,41.88454154229933,-87.63094329833984,52851,False,6770021321020,California & Jackson,California & Harrison,1420.88330078125,-2.9,early,5.537,0.74,False,0,False,False
4357,2026-02-19 23:39:00,22,Harrison,41.88349742274131,-87.63091278076172,53231,False,6770026783070,47th Street & Washtenaw,47th Street & Rockwell,1420.7166748046875,-1.7,early,9.664,1.26,False,0,False,False
4372,2026-02-19 23:39:00,151,Devon/Clark,41.978155887488164,-87.65503496112245,45612,False,6770039361070,California & 66th Street,California & Marquette Rd,1417.7332763671875,1.3,on_time,23.149,0.38,False,0,False,False
4372,2026-02-19 23:39:00,151,Devon/Clark,41.98046355551862,-87.65509796142578,46454,False,6770035161070,93rd Street & Clyde,93rd Street & Jeffery,1420.183349609375,-1.2,early,29.036,1.0,False,0,False,False
4394,2026-02-19 23:39:00,151,Devon/Clark,41.93600966713645,-87.63941782171077,27363,False,6770044530070,95th Street & Princeton,95th Street & Eggleston,1416.7332763671875,2.3,on_time,23.838,2.35,False,0,False,False
4394,2026-02-19 23:39:00,151,Devon/Clark,41.936311201615766,-87.6394306529652,27474,False,6770005376020,93rd Street & Woodlawn,Woodlawn & 94th Street,1418.88330078125,0.1,on_time,23.881,0.54,False,0,False,False
609,2026-02-19 23:38:00,66,Austin,41.89565211328967,-87.65447708656048,16398,False,6770006358020,93rd Street & Manistee,93rd Street & Marquette Avenue,1417.75,0.2,on_time,20.445,1.44,False,0,False,False
609,2026-02-19 23:39:00,66,Austin,41.8962516784668,-87.65546993333466,16746,False,6770047128020,51st Street & Damen,51st Street & Hoyne,1416.63330078125,2.4,on_time,10.706,2.59,False,0,False,False
609,2026-02-19 23:40:00,66,Austin,41.89619582446653,-87.65962629175898,17873,False,6770018667020,Lake Park & 47th Street Terminal,47th Street & Lake Park,1416.5999755859375,3.4,on_time,11.087,2.0,False,0,False,False
7901,2026-02-19 23:38:00,34,131st & Ellis,41.67990711757115,-87.62056732177734,16871,False,6770022312070,79th & Western Terminal,Western & 77th Street,1418.7667236328125,-0.8,on_time,9.726,0.58,False,0,False,False
7901,2026-02-19 23:40:00,34,131st & Ellis,41.67313279776737,-87.62034712166621,19333,False,6770009120070,Western & Palmer,Western & Armitage,1420.4000244140625,-0.4,on_time,27.757,0.9,False,0,False,False
7902,2026-02-19 23:38:00,75,79th/Western,41.758160495758055,-87.62634830474853,19500,False,6770049737010,Western & Le Moyne,Western & Hirsch,1418.816650390625,-0.8,on_time,17.251,0.8,False,0,False,False
7902,2026-02-19 23:39:00,75,79th/Western,41.75693487613759,-87.62634553300573,19957,False,6770041264010,Western & Taylor,Western & Roosevelt,1416.699951171875,2.3,on_time,13.133,1.44,False,0,False,False
7902,2026-02-19 23:40:00,75,79th/Western,41.752718705397385,-87.62592033973107,21494,False,6770010552070,Western & Marquette Rd,Western & 69th Street,1421.949951171875,-1.9,early,5.087,2.83,False,0,False,False
7917,2026-02-19 23:38:00,3,95th Red Line,41.76929975237165,-87.61542750767299,50347,False,6770010552070,Western & 69th Street,Western & 71st Street,1422.7833251953125,-4.8,early,5.658,2.98,False,0,False,False
7917,2026-02-19 23:39:00,3,95th Red Line,41.76592280946929,-87.61529541015625,51581,False,6770004882020,Western & 77th Street,79th & Western Terminal,1416.5,2.5,on_time,5.836,1.63,False,0,False,False
7954,2026-02-19 23:38:00,3,95th Red Line,41.80596180966026,-87.61656081885623,36930,False,6770007955020,Western & 61st Street,Western & 59th Street,1419.5833740234375,-1.6,early,5.963,0.48,False,0,False,False
7954,2026-02-19 23:40:00,3,95th Red Line,41.801593530373495,-87.61619492827869,38531,False,6770020265020,Western & 28th Street,Western & 26th Street,1418.13330078125,1.9,on_time,7.507,0.09,False,0,False,False
7967,2026-02-19 23:38:00,3,Michigan/Chicago,41.834482036653114,-87.61695861816406,44274,False,6770008059070,Western & 35th Street,Western & Archer,1419.63330078125,-1.6,early,5.724,0.19,False,0,False,False
