,route_id,overall_n_obs,overall_delay_mean,overall_delay_median,overall_delay_std,overall_delay_p90,overall_early_pct,overall_on_time_pct,overall_otp_pct,overall_late_pct,overall_very_late_pct,overall_n_trips,early_morning_n_obs,am_peak_n_obs,midday_n_obs,pm_peak_n_obs,evening_n_obs,early_morning_delay_mean,am_peak_delay_mean,midday_delay_mean,pm_peak_delay_mean,evening_delay_mean,early_morning_delay_median,am_peak_delay_median,midday_delay_median,pm_peak_delay_median,evening_delay_median,early_morning_delay_std,am_peak_delay_std,midday_delay_std,pm_peak_delay_std,evening_delay_std,early_morning_delay_p90,am_peak_delay_p90,midday_delay_p90,pm_peak_delay_p90,evening_delay_p90,early_morning_early_pct,am_peak_early_pct,midday_early_pct,pm_peak_early_pct,evening_early_pct,early_morning_on_time_pct,am_peak_on_time_pct,midday_on_time_pct,pm_peak_on_time_pct,evening_on_time_pct,early_morning_otp_pct,am_peak_otp_pct,midday_otp_pct,pm_peak_otp_pct,evening_otp_pct,early_morning_late_pct,am_peak_late_pct,midday_late_pct,pm_peak_late_pct,evening_late_pct,early_morning_very_late_pct,am_peak_very_late_pct,midday_very_late_pct,pm_peak_very_late_pct,evening_very_late_pct,n_ghost_trips,ghost_rate_pct
31,60,140646.0,1.33,0.4,5.55,7.6,33.07,40.06,73.14,26.86,2.47,3140,8850.0,30506.0,41229.0,34839.0,25222.0,3.38,1.24,1.04,1.62,0.8,0.3,0.5,0.4,0.7,-0.1,9.77,4.48,4.78,5.88,5.2,16.3,7.0,6.9,8.9,6.8,29.56,31.06,32.73,32.62,37.93,45.92,42.81,40.85,36.01,38.99,75.48,73.88,73.58,68.64,76.92,24.52,26.12,26.42,31.36,23.08,10.59,1.27,1.18,3.31,2.04,474,13.12
32,47,124689.0,1.5,0.1,6.1,8.2,32.93,40.36,73.3,26.7,3.07,3163,8716.0,25677.0,37853.0,30088.0,22355.0,4.79,0.87,0.98,2.2,0.88,0.1,-0.0,0.1,0.6,0.0,12.58,4.11,4.99,6.37,4.86,25.0,6.5,7.5,10.5,6.9,30.9,33.13,34.44,31.36,33.07,41.18,43.14,40.41,34.45,44.73,72.07,76.27,74.85,65.81,77.8,27.93,23.73,25.15,34.19,22.2,17.03,0.54,1.78,4.01,1.44,495,13.53
33,6,98056.0,1.32,0.3,5.73,7.5,32.13,41.24,73.37,26.63,2.54,2348,5482.0,19675.0,29346.0,23823.0,19730.0,5.81,0.93,0.54,1.64,1.25,0.5,0.3,0.0,0.8,0.5,12.81,4.4,4.51,5.35,5.15,28.3,6.6,5.9,8.2,7.6,30.04,30.9,35.94,29.58,31.34,35.72,44.87,41.95,38.88,40.93,65.76,75.77,77.9,68.46,72.27,34.24,24.23,22.1,31.54,27.73,20.65,0.65,0.89,2.35,2.08,451,16.11
34,63W,20964.0,2.45,0.5,7.81,9.5,23.85,49.66,73.5,26.5,5.68,1353,1413.0,4746.0,5051.0,5499.0,4255.0,0.72,1.74,3.51,3.12,1.7,-0.4,0.3,0.8,1.0,0.4,4.44,7.64,9.72,7.41,6.44,4.8,6.6,13.8,11.5,6.7,31.14,23.11,22.25,23.55,24.51,54.71,56.51,45.58,42.75,54.1,85.85,79.62,67.83,66.3,78.61,14.15,20.38,32.17,33.7,21.39,2.83,3.33,9.25,7.16,3.1,146,9.74
35,39,30581.0,1.45,0.7,4.81,6.8,24.4,49.14,73.54,26.46,1.75,1049,869.0,7883.0,9428.0,8543.0,3858.0,-2.09,0.97,1.01,3.21,0.37,-0.7,0.8,0.6,1.8,0.1,4.39,3.54,4.27,6.14,3.69,1.7,5.3,5.8,11.6,4.3,42.58,24.27,25.01,21.07,26.49,54.43,51.73,51.43,39.18,59.07,97.01,76.0,76.44,60.25,85.56,2.99,24.0,23.56,39.75,14.44,0.0,0.04,0.8,5.26,0.21,182,14.78
36,X9,53864.0,1.0,0.3,4.95,7.1,32.59,41.2,73.79,26.21,1.16,888,1791.0,22159.0,6640.0,19179.0,4095.0,0.37,0.18,0.58,1.51,4.02,-0.1,-0.3,0.0,1.1,3.1,3.38,4.19,3.86,5.63,5.9,4.0,5.4,4.7,8.3,11.2,32.83,39.33,33.51,28.08,15.65,53.66,41.3,50.05,38.48,33.58,86.49,80.63,83.55,66.56,49.23,13.51,19.37,16.45,33.44,50.77,0.0,0.35,0.66,1.68,4.4,124,12.25
37,70,80431.0,1.24,0.0,5.36,8.2,35.43,38.58,74.01,25.99,2.65,2516,2306.0,20735.0,23969.0,19990.0,13431.0,-0.35,0.93,0.31,3.29,0.63,-0.9,0.0,-0.5,1.8,-0.3,3.24,4.41,4.51,6.72,5.27,1.2,6.6,5.9,12.7,7.1,43.45,34.68,42.4,25.08,38.19,51.43,42.95,37.91,32.47,39.93,94.88,77.62,80.31,57.55,78.12,5.12,22.38,19.69,42.45,21.88,1.91,1.28,1.1,6.38,2.13,191,7.06
38,88,18772.0,1.68,0.9,3.68,6.6,17.39,56.68,74.07,25.93,0.52,1243,795.0,4605.0,5027.0,5040.0,3305.0,1.86,1.11,1.54,2.57,1.33,0.9,0.2,0.8,1.8,0.6,4.51,3.61,3.65,3.49,3.64,8.1,6.1,6.6,7.1,5.6,16.6,22.32,21.29,9.37,17.0,57.23,57.29,52.99,54.94,63.96,73.84,79.61,74.28,64.31,80.97,26.16,20.39,25.72,35.69,19.03,1.64,0.24,0.58,0.62,0.39,156,11.15
39,151,144063.0,0.89,0.1,6.21,7.1,36.42,37.69,74.11,25.89,2.25,2515,7331.0,30553.0,43064.0,38413.0,24702.0,8.23,1.29,0.19,0.08,0.68,1.6,0.7,-0.3,-0.3,0.3,14.97,4.58,5.1,5.19,5.19,35.5,7.1,6.6,6.2,6.6,26.72,27.8,41.54,40.86,34.16,30.32,43.1,34.82,36.74,39.68,57.05,70.9,76.36,77.6,73.84,42.95,29.1,23.64,22.4,26.16,27.06,0.75,0.83,0.98,1.21,548,17.89
40,72,145705.0,1.23,0.0,5.62,7.6,36.35,37.85,74.2,25.8,2.36,3693,8964.0,30516.0,41473.0,36878.0,27874.0,5.12,0.94,0.25,2.69,-0.17,0.3,0.0,-0.3,1.6,-0.8,12.03,4.35,3.99,5.65,4.55,23.1,7.0,5.7,10.1,5.4,31.01,35.94,40.33,25.83,46.52,40.19,39.92,39.43,34.92,36.35,71.21,75.86,79.76,60.75,82.87,28.79,24.14,20.24,39.25,17.13,17.06,1.04,0.3,3.48,0.64,474,11.38
